calories_day,weight,Gender
,187,2
3.0,155,1
4.0,I'm not answering this. ,1
3.0,"Not sure, 240",1
2.0,190,1
3.0,190,1
3.0,180,2
3.0,137,1
,180,1
3.0,125,1
3.0,116,1
4.0,110,1
3.0,264,2
3.0,123,1
3.0,185,2
,180,2
3.0,145,1
3.0,170,2
3.0,135,1
2.0,165,2
3.0,175,2
3.0,195,2
3.0,185,2
3.0,185,2
2.0,105,1
3.0,125,1
2.0,160,2
4.0,175,2
2.0,180,2
2.0,167,2
3.0,115,1
3.0,205,2
3.0,,2
3.0,128,1
3.0,150,1
2.0,150,1
3.0,150,1
4.0,170,1
3.0,150,1
,175,2
3.0,140,2
4.0,120,1
3.0,135,1
2.0,100,1
4.0,170,1
3.0,113,1
2.0,168,2
,145,2
,155,2
3.0,150,2
3.0,169,2
4.0,185,2
4.0,200,2
,265,2
3.0,165,2
2.0,192,1
4.0,175,2
4.0,140,1
3.0,155,1
,155,1
4.0,135,1
2.0,118,1
4.0,210,2
4.0,180,1
3.0,140,1
,112,1
3.0,125,1
2.0,144 lbs,1
3.0,145,1
4.0,130,1
3.0,140,1
,140,1
3.0,140,2
4.0,200,2
2.0,,2
3.0,120,1
3.0,150,1
2.0,200,2
3.0,135,1
3.0,145,2
2.0,130,1
3.0,190,1
,170,1
3.0,127,1
3.0,167,1
3.0,140,1
3.0,190,1
3.0,155,2
4.0,175,2
3.0,129,1
4.0,260,2
2.0,135,1
,190,2
,165,2
3.0,175,2
,184,2
3.0,210,2
3.0,155,1
3.0,185,2
4.0,165,1
3.0,125,1
,160,1
4.0,135,1
3.0,130,1
3.0,230,1
3.0,125,1
3.0,130,1
3.0,165,1
2.0,128,1
3.0,200,1
3.0,160,1
2.0,170,2
4.0,129,1
2.0,170,1
3.0,138,2
4.0,150,2
,170,1
,113,1
3.0,140,1
3.0,185,2
4.0,156,1
2.0,180,1
,120,1
4.0,135,2
,135,1
